requirement_id,baseline_id,baseline_version,resource_type,setting,expected_value,comparison,severity,approved_by,approved_at,status
REQ-AWS-S3-01,aws-s3-v1,1.0.0,aws_s3_bucket,encryption_enabled,true,equals,high,security-architecture,2026-01-15T18:00:00Z,approved
REQ-AWS-S3-02,aws-s3-v1,1.0.0,aws_s3_bucket,public_access_block,true,equals,critical,security-architecture,2026-01-15T18:00:00Z,approved
REQ-AWS-S3-03,aws-s3-v1,1.0.0,aws_s3_bucket,audit_logging,true,equals,high,security-architecture,2026-01-15T18:00:00Z,approved
REQ-AWS-RDS-01,aws-rds-v1,1.0.0,aws_rds_instance,encryption_enabled,true,equals,high,security-architecture,2026-01-15T18:00:00Z,approved
REQ-AWS-RDS-02,aws-rds-v1,1.0.0,aws_rds_instance,public_access,false,equals,critical,security-architecture,2026-01-15T18:00:00Z,approved
REQ-AWS-RDS-03,aws-rds-v1,1.0.0,aws_rds_instance,audit_logging,true,equals,high,security-architecture,2026-01-15T18:00:00Z,approved
REQ-AZ-ST-01,azure-storage-v1,1.2.0,azure_storage_account,secure_transfer_required,true,equals,high,security-architecture,2026-02-10T18:00:00Z,approved
REQ-AZ-ST-02,azure-storage-v1,1.2.0,azure_storage_account,public_network_access,false,equals,critical,security-architecture,2026-02-10T18:00:00Z,approved
REQ-AZ-ST-03,azure-storage-v1,1.2.0,azure_storage_account,audit_logging,true,equals,high,security-architecture,2026-02-10T18:00:00Z,approved
REQ-GCP-BQ-01,gcp-bigquery-v1,1.1.0,gcp_bigquery_dataset,default_kms_key,required,nonempty,high,security-architecture,2026-02-20T18:00:00Z,approved
REQ-GCP-BQ-02,gcp-bigquery-v1,1.1.0,gcp_bigquery_dataset,public_access,false,equals,critical,security-architecture,2026-02-20T18:00:00Z,approved
REQ-GCP-BQ-03,gcp-bigquery-v1,1.1.0,gcp_bigquery_dataset,audit_logging,true,equals,high,security-architecture,2026-02-20T18:00:00Z,approved
REQ-K8S-01,kubernetes-workload-v1,2.0.0,kubernetes_deployment,run_as_non_root,true,equals,high,security-architecture,2026-03-01T18:00:00Z,approved
REQ-K8S-02,kubernetes-workload-v1,2.0.0,kubernetes_deployment,privileged,false,equals,critical,security-architecture,2026-03-01T18:00:00Z,approved
REQ-K8S-03,kubernetes-workload-v1,2.0.0,kubernetes_deployment,image_tag_immutable,true,equals,high,security-architecture,2026-03-01T18:00:00Z,approved
REQ-TF-01,terraform-network-v1,1.0.0,terraform_network_module,ingress_cidr,10.0.0.0/8,equals,critical,security-architecture,2026-03-15T18:00:00Z,approved
REQ-TF-02,terraform-network-v1,1.0.0,terraform_network_module,flow_logs,true,equals,high,security-architecture,2026-03-15T18:00:00Z,approved
REQ-TF-03,terraform-network-v1,1.0.0,terraform_network_module,encryption_enabled,true,equals,high,security-architecture,2026-03-15T18:00:00Z,approved
